,epoch,train_loss,val_loss,time,learning rate
0,0,2.6138846928601933,2.2720544563293457,21.167022705078125,0.001
1,1,2.6037650638275687,2.2367363719940188,21.09703254699707,0.001
2,2,2.495340205381031,2.0498597465515136,21.097836017608643,0.001
3,3,2.3624624338540117,1.942257447052002,21.105291604995728,0.001
4,4,2.1969351596457445,1.8376629369735717,21.09149432182312,0.001
5,5,2.083648554634268,1.7673341804504394,21.12439775466919,0.001
6,6,2.046483720156035,1.731282480239868,21.062165021896362,0.001
7,7,2.0055744080129103,1.716477307319641,21.131247758865356,0.001
8,8,1.981315244125216,1.701139737701416,21.125224113464355,0.001
9,9,1.9704411917536815,1.714479525756836,21.135217666625977,0.001
10,10,1.9675380519204455,1.6818079933166503,21.12729001045227,0.001
11,11,1.92099905536227,1.6746086181640625,21.128467321395874,0.001
12,12,1.8884897299415648,1.670548889350891,21.108028650283813,0.001
13,13,1.8812720627889168,1.6524172925949097,21.13636589050293,0.001
14,14,1.8529241338397564,1.6465399402618408,21.11069941520691,0.001
15,15,1.8381812818551828,1.6437184988021851,21.120481491088867,0.001
16,16,1.8146878786832885,1.6175989017486572,21.12333607673645,0.001
17,17,1.8176066073814336,1.638826908493042,21.137838125228882,0.001
18,18,1.82982088164194,1.613993013381958,21.12120795249939,0.001
19,19,1.7919991449637822,1.602575733947754,21.128401041030884,0.0003981071705534973
20,20,1.7526307014336955,1.5762311204910278,21.117757081985474,0.0006309573444801933
21,21,1.7325135474205493,1.570007657432556,21.137394428253174,0.0006309573444801933
22,22,1.718608161344184,1.5572421392440796,21.142733573913574,0.0006309573444801933
23,23,1.705983165908258,1.5495556743621826,21.127467393875122,0.0006309573444801933
24,24,1.6964128443999031,1.5426906745910645,21.121623992919922,0.0006309573444801933
25,25,1.687887862344088,1.5360548839569093,21.121984243392944,0.0006309573444801933
26,26,1.679983932491016,1.5292261806488037,21.127881288528442,0.0006309573444801933
27,27,1.6725863455676928,1.522848903274536,21.10854935646057,0.0006309573444801933
28,28,1.6656822391433326,1.5129470642089844,21.13866639137268,0.0006309573444801933
29,29,1.6596671024648317,1.5080131309509277,21.14104413986206,0.0006309573444801933
30,30,1.655400327949932,1.5059086494445801,21.11823344230652,0.0006309573444801933
31,31,1.6615247838985254,1.5124259477615356,21.123983144760132,0.0006309573444801933
32,32,1.6744318192977288,1.50981609916687,21.193927764892578,0.0006309573444801933
33,33,1.6684471698317103,1.4966503248214722,21.208241939544678,0.0006309573444801933
34,34,1.6492148480399607,1.4807949089050294,21.20876407623291,0.0006309573444801933
35,35,1.6313976611074346,1.4773847383499146,21.21067214012146,0.0006309573444801933
36,36,1.626951117374406,1.4769550899505615,21.220648050308228,0.0006309573444801933
37,37,1.6231637477684002,1.4708757801055907,21.21488332748413,0.0006309573444801933
38,38,1.6205301222437345,1.4703887884140014,21.192188262939453,0.0006309573444801933
39,39,1.6172450620396779,1.4659747747421266,21.207595348358154,0.00025118864315095806
40,40,1.612219210779301,1.461609548187256,21.19513249397278,0.0003981071705534973
41,41,1.599991173312144,1.4589857847213745,21.215301752090454,0.0003981071705534973
42,42,1.596327258689557,1.4572199069976806,21.216658115386963,0.0003981071705534973
43,43,1.5932535110849038,1.4558218482971192,21.231705904006958,0.0003981071705534973
44,44,1.5903722446600739,1.4538134872436523,21.22352957725525,0.0003981071705534973
45,45,1.5874592404995505,1.4524886281967162,21.29459023475647,0.0003981071705534973
46,46,1.584526293658533,1.4505637001037597,21.215092182159424,0.0003981071705534973
47,47,1.581706283557223,1.4495906578063964,21.200339794158936,0.0003981071705534973
48,48,1.578962627739081,1.4475961713790892,21.21192455291748,0.0003981071705534973
49,49,1.5768045135492896,1.4462801624298096,21.220895528793335,0.0003981071705534973
50,50,1.5757283561288602,1.4470215698242188,21.215149641036987,0.0003981071705534973
51,51,1.5788428113393538,1.4475384202957153,21.208842039108276,0.0003981071705534973
52,52,1.5823737104507265,1.4500523801803589,21.206822633743286,0.0003981071705534973
53,53,1.575272217334801,1.4441550382614137,21.20931911468506,0.0003981071705534973
54,54,1.5692318981320206,1.4422283920288086,21.191291093826294,0.0003981071705534973
55,55,1.5631807435332614,1.440878777885437,21.3365261554718,0.0003981071705534973
56,56,1.5600713658468737,1.439934383392334,21.171216011047363,0.0003981071705534973
57,57,1.5580647416753355,1.436911302757263,21.176448822021484,0.0003981071705534973
58,58,1.5554499676828684,1.438049767303467,21.179877519607544,0.0003981071705534973
59,59,1.5534825745743863,1.4358815704345702,21.169301509857178,0.0001584893192461114
60,60,1.552235692128478,1.4374194551467896,21.167684078216553,0.00025118864315095806
61,61,1.5462201899654306,1.435922134399414,21.157881259918213,0.00025118864315095806
62,62,1.5437027671740333,1.4351270092010497,21.133180856704712,0.00025118864315095806
63,63,1.5418953692535124,1.4353346759796142,21.072407007217407,0.00025118864315095806
64,64,1.540114740858508,1.43444001121521,21.105863094329834,0.00025118864315095806
65,65,1.5384380436978444,1.4347084363937377,21.120415449142456,0.00025118864315095806
66,66,1.5367331376778195,1.433429879951477,21.10545301437378,0.00025118864315095806
67,67,1.5351578826152725,1.4337374662399291,21.13338351249695,0.00025118864315095806
68,68,1.533510642273925,1.4327859603881836,21.13295030593872,0.00025118864315095806
69,69,1.5320645168383416,1.4325913564682007,21.11689567565918,0.00025118864315095806
70,70,1.530819586699385,1.4327654411315918,21.108484029769897,0.00025118864315095806
71,71,1.530462774065378,1.4316174156188965,21.13992977142334,0.00025118864315095806
72,72,1.5300070905055936,1.432297885131836,21.122130155563354,0.00025118864315095806
73,73,1.5290374291254314,1.4309746795654297,21.126710891723633,0.00025118864315095806
74,74,1.5274599009912626,1.4326353164672851,21.133946895599365,0.00025118864315095806
75,75,1.5246184258976512,1.429186287879944,21.115747928619385,0.00025118864315095806
76,76,1.52235441676902,1.4313201889038085,21.107572555541992,0.00025118864315095806
77,77,1.5206093342140419,1.428791607284546,21.109907627105713,0.00025118864315095806
78,78,1.5185483526332293,1.4292546813964844,21.108670473098755,0.00025118864315095806
79,79,1.5167619339977936,1.4281926532745362,21.13429856300354,0.00010000000000000003
80,80,1.5147111304391203,1.4280164501190185,21.099607706069946,0.0001584893192461114
81,81,1.5129064160450088,1.4275321891784667,21.117465019226074,0.0001584893192461114
82,82,1.511738664067403,1.4269111511230468,21.103095769882202,0.0001584893192461114
83,83,1.510736632173044,1.4273673301696777,21.152620315551758,0.0001584893192461114
84,84,1.5097210889864545,1.4264969736099242,21.11296582221985,0.0001584893192461114
85,85,1.5087114634520054,1.4270621978759765,21.110520362854004,0.0001584893192461114
86,86,1.507683730731071,1.425815824699402,21.114360332489014,0.0001584893192461114
87,87,1.5067383387360838,1.4266152490615844,21.108142614364624,0.0001584893192461114
88,88,1.5056982624708433,1.42568067779541,21.124835968017578,0.0001584893192461114
89,89,1.504702614669693,1.4262433782577515,21.118879318237305,0.0001584893192461114
90,90,1.503658970101665,1.4265841594696045,21.116337537765503,0.0001584893192461114
91,91,1.502634481008392,1.4245128248214722,21.10041904449463,0.0001584893192461114
92,92,1.501754275893364,1.4263829839706421,21.122915983200073,0.0001584893192461114
93,93,1.5009315556938116,1.4241166526794433,21.10985255241394,0.0001584893192461114
94,94,1.5014163919396013,1.4279649463653565,21.105683088302612,0.0001584893192461114
95,95,1.5021891916307262,1.4251025775909423,21.107553005218506,0.0001584893192461114
96,96,1.5007640805193418,1.4274388301849366,21.117685556411743,0.0001584893192461114
97,97,1.498083622089111,1.4247998895645142,21.098358869552612,0.0001584893192461114
98,98,1.4962753275773897,1.4255658374786377,21.108712911605835,0.0001584893192461114
99,99,1.494794036736666,1.4242323431015014,21.10372257232666,6.309573444801935e-05
